NucleoVir Therapeutics Pvt. Ltd.
Combined Financial Report
Period: 2026-01-01 to 2026-02-28
Generated: 2026-03-05 09:40

=== PO REGISTER ===
PO Number,Date,Vendor,Category,Amount,GST,Total,Status
TOTAL,,,,0,0,0,

=== PAYMENT REGISTER ===
Voucher No,Date,Vendor,Invoice No,Amount,TDS,Net Paid,Payment Ref
TOTAL,,,,0,0,0,

=== VENDOR AGING ===
Vendor,Total Due,Invoices,Oldest Invoice
TOTAL,0,0,

=== GST/TDS SUMMARY ===
Voucher No,Vendor,Invoice Amount,GST Amount,TDS %,TDS Amount
TOTAL,,0,0,,0
